quote_check_rank,candidate_or_concept_id,entry_type,sport,event,market_selection,line_or_alternatives,why_quote_check_matters,price_sensitivity,minimum_acceptable_odds_if_calculable,superbet_event_found,market_found,exact_line,decimal_odds,timestamp_europe_warsaw,visible_bet_builder_combined_odds,final_manual_status
13,analysis_football_hafnarfjordur_vs_stjarnan_2026_07_03t191500_0000_corners_line_sensitive_unpriced,candidate,football,Hafnarfjordur vs Stjarnan,Total corners - operator line requires confirmation,LINE_REQUIRES_OPERATOR_CHECK,Price determines whether an otherwise valid analytical idea can clear the later price gate.,HIGH,,,,,,,,
14,analysis_football_ir_reykjavik_vs_afturelding_2026_07_03t191500_0000_corners_line_sensitive_unpriced,candidate,football,IR Reykjavik vs Afturelding,Total corners - operator line requires confirmation,LINE_REQUIRES_OPERATOR_CHECK,Price determines whether an otherwise valid analytical idea can clear the later price gate.,HIGH,,,,,,,,
15,analysis_football_wolves_vs_rochedale_2026_07_03t093000_0000_corners_line_sensitive_unpriced,candidate,football,Wolves vs Rochedale,Total corners - operator line requires confirmation,LINE_REQUIRES_OPERATOR_CHECK,Price determines whether an otherwise valid analytical idea can clear the later price gate.,HIGH,,,,,,,,
16,analysis_valorant_g2_esports_vs_nongshim_redforce_2026_07_03t134500_0000_total_maps_line_sensitive_unpriced,candidate,valorant,G2 Esports vs Nongshim RedForce,Total maps - operator line requires confirmation,LINE_REQUIRES_OPERATOR_CHECK,Price determines whether an otherwise valid analytical idea can clear the later price gate.,HIGH,,,,,,,,
17,analysis_valorant_mibr_los_vs_global_esports_2026_07_03t110000_0000_total_maps_line_sensitive_unpriced,candidate,valorant,MIBR LOS vs Global Esports,Total maps - operator line requires confirmation,LINE_REQUIRES_OPERATOR_CHECK,Price determines whether an otherwise valid analytical idea can clear the later price gate.,HIGH,,,,,,,,
18,analysis_valorant_team_heretics_vs_ag_al_international_2026_07_03t110000_0000_total_maps_line_sensitive_unpriced,candidate,valorant,Team Heretics vs AG.AL International,Total maps - operator line requires confirmation,LINE_REQUIRES_OPERATOR_CHECK,Price determines whether an otherwise valid analytical idea can clear the later price gate.,HIGH,,,,,,,,
19,cand_072_basketball_austria_vs_poland_2026_07_03t160000_0000_result,candidate,basketball,Austria vs Poland,Moneyline - Austria,NO_NUMERIC_LINE_REQUIRED,Price determines whether an otherwise valid analytical idea can clear the later price gate.,LOW,,,,,,,,
20,cand_076_basketball_belgium_vs_france_2026_07_03t183000_0000_result,candidate,basketball,Belgium vs France,Moneyline - Belgium,NO_NUMERIC_LINE_REQUIRED,Price determines whether an otherwise valid analytical idea can clear the later price gate.,LOW,,,,,,,,
21,cand_080_basketball_canterbury_rams_vs_manawatu_jets_2026_07_03t073000_0000_result,candidate,basketball,Canterbury Rams vs Manawatu Jets,Moneyline - Canterbury Rams,NO_NUMERIC_LINE_REQUIRED,Price determines whether an otherwise valid analytical idea can clear the later price gate.,LOW,,,,,,,,
22,cand_084_basketball_china_vs_japan_2026_07_03t113000_0000_result,candidate,basketball,China vs Japan,Moneyline - China,NO_NUMERIC_LINE_REQUIRED,Price determines whether an otherwise valid analytical idea can clear the later price gate.,LOW,,,,,,,,
23,cand_086_basketball_finland_vs_hungary_2026_07_03t153000_0000_result,candidate,basketball,Finland vs Hungary,Moneyline - Finland,NO_NUMERIC_LINE_REQUIRED,Price determines whether an otherwise valid analytical idea can clear the later price gate.,LOW,,,,,,,,
24,cand_070_basketball_israel_vs_germany_2026_07_03t170000_0000_result,candidate,basketball,Israel vs Germany,Moneyline - Israel,NO_NUMERIC_LINE_REQUIRED,Price determines whether an otherwise valid analytical idea can clear the later price gate.,LOW,,,,,,,,
